Nome,Username,ID
Edy Carlos,edyinvesti,6202370881
Lorena,lorenalopes1,7242486207
Bianca,biancaalves121,7629727346
AndrÃ©,andreluiz11111,7654651674
Fabiana,fabianaalves112,7646339602
Elaine,EunavidaemCristo,5496905932
Nayane,Nay_silva1,6155417553
Silva,AchadinhosShopee2029,6785601942
Raquel,Racqueltinganp11,6391903298
ValÃ©ria,ferreira07,777336667
Marcelo,marcelonunes181,6134186374
PL TOP,PL3395,7378997771
Laura â˜˜ï¸,Gatinha4,7204062792
FERNANDA BONATO,bemstar426,595332122
Douglas Azevedo,Douglassga30,1796890751
Roberta Trader,Roberta_0111,6710625584
DP do 7,Tutucosta,5594108194
Ãgatha,agatharubya,5517907671
Mary,Marielly064,5639264527
ValÃ©ria,Valvalvalc,7006777710
Sheik SoluÃ§Ãµes,SheikMetados,7129880557
Ana ClÃ¡udia,aninhaclpereira,5631057774
Sink_91,Sink07,5346376352
ronald,bauer42,5316007518
Chaco,Spiky98,2078212974
GHziinXx,GHziinXx,1492359082
Jusk,eosoaksw,6188128025
Santiago,Brothersxv,1930994431
Anna,anna_llynda,5714244535
Anna,Aninhazs,6712675217
Manu,Manu24s,1725264517
Bruna,brunaaendres,6745968081
Mariana,marianaconfeitaria,1352738807
Geovani,GeovaniA25,7217954912
Santiago,SantiagoSann,6077534865
Ruan,Ruanhuik,6294534522
Bia#1,achados_dabia,7648333558
Filipe,,6176180617
Adley,,6820740451
Matheus,,6299333166
JÃ©ssica,Jessfernands,1335996878
thay e lucas,,7109971939
MHMMD,,7286611143
Kelly,kellyinvesti,1745399222
Leste,lestesurvive,7611591007
Jonas.psv,Jonaspassos7,7756412048
artexander,grafica_ax,1216470061
ğŸ¥°,BEstvNi,7507456270
Dono da play family,playfamily2024,6798414894
Danillo,danillojolie,1052718626
MassagistaBeto,massagistabeto,7660528901
Evelin,Vevepack,8057650278
Martinss Digitall,lilianpires,1319073903
Rosana,rosanaspec,7574693075
Guilherme,Guilherme_Senra,5526496121
ğ’œğ“‚ğ’¶ğ“ƒğ’¹ğ’¶,amandazzzs,7924579451
Aguiar,Aguiarbank,8015276388
Lala,Litinha09l,7813608114
Cristiane,Crismodasgirls,6615373984
Lene,Deliciasdalene_oficial,5662127717
Hamachi,felipehamachi,5609801689
RosemeireAS,RosemeireAS,1230716282
A,Hklsc,1899725156
Kita de ogum,Kitadeogum,1267038184
Sil,Silmarene,937842583
Renata,rcalj,574423586
JHONY,japson61,5256638036
Edna'Silva,EdnaCristinaSilva,675671584
Cintia,Nara_Cintia,2065580514
Grazi,grazioliveirah,6050061678
Thari,Thhari,1390069961
DÃ©bora L. Costa,Nutrindo_vidas,1262512385
Santos,monikinhasantos,997840866
Drezza,drezzafb,1750387256
Adriana Martins,Andriana2021,7701493312
Elias,eliasjuareis,7663440896
Anabel Noronha,Anabel_Noronha,6784541412
Zito,Zito_vieira,2042622766
Sandy,Sandy_Philips,5579874967
milly,millysbee,856127043
JoÃ£o Paulo,jottape_mafra,1737573807
Jennifer,Jennyffer_lima,1165327167
Clarissa Tavares,claritav23,5957725620
Daniella,magazinedanimaisvocee,5364191402
Vi,vickx26,1712568657
Edkaip,edkaipi,6637985691
edu,uderdo,1376415839
ğŸ¦‹RejaneğŸ¦‹,Rehgl,190029422
CZK,CZKzint,6080962181
Salmo,SalmoBr,6461509788
Alexandre,XandeRJDF,6590930332
Eugene,N8Dnntxm0I0S,7092353310
Marco,Marcodigitalferreirs,5892627445
EMANOEL,emanoelrss,1361693253
James,shadowip665,5953058315
Paulo Henrique,Paullo_santos97,5215057788
Janiele,Janiele12er,940200010
à¥,Lucaspereira_017,5447217432
SeguranÃ§a,Cleber1975,908720950
Israel,Israel_4P2,5509186574
Ernaldo,Ernaldogomes,7563065848
Lucas,lucasstark22k,1043169922
Maiscedo,MmaiscedoS,6039244864
Jenifer,Jenifercamile111,1762695974
Ivone,Ivonesouzaa,1510920303
Alexandre,AlexandreBenevides,5374767898
Carvalho,CARVALHO2508,1104190799
Cris,Crisnunesof,5381000825
Stephanie,Stephanie_Kellen,1166944305
Rafael,Rafaelsouza99,7582569689
Vinicius,ViniVieira93,1967527941
Aryel Andrade,aryelandrade,829401387
Falcon,Falconpba123,8074901011
Rosa,rosaseva,1562533702
FÃ¡bio,Fabiocorreia92,5696726067
Luimem,choices_combaz,6950572072
Chefa,chefasdomarketing,6792142584
Maria Edison,EdisonEdison12,5569241593
Luh,Lucineia515,1045237349
Iris,Costairis43,6063484551
Ale,Rodrigosantos46,5504650793
Sandra,Sandranewss,7662375845
Paloma,pahfelizardo,1991847250
Josy,Luaayyi,1796494634
Patrick,Patrickvalente09,5133217079
GlÃ³ria,Estefani2706,7185894872
Thais,Thais38G,1525149563
Lorena,tiana77,6533308879
Bruna,Brunancamargo,1435474034
sonia,Sonialopesrs,157298158
Leandro,Leandrodepaula1232,6570728182
Karolina,Koroline_Amaral,1928986215
Roberta,Roberta_bella,7527530769
Rezende,RenzendeJunior,1226726892
Achadinhos Risoletivo,achadinhos_risoletivo,7022426844
JosÃ© Bastos,safetycoins11,773710002
Celio,Celio_HU,5902226842
Rogerio,RogerioCarvalh,7090095029
Eduardo,duardomorato,7654813121
Marcos Antonio Machado,Marcos_stream,703719157
Antonio,antoniooliveira13x,5892180103
Luciano,MelgacoLuciano,6596440112
Leka,Lekbarros,6073321785
Ana Carolina,Ana_carolina_cf,6160944299
Vick,Mimimeigente,7517782304
Brasil,mfbss30,6437477979
Ivani Juliana,Opsimn,6419205425
Gio,ilov3lana,1855670206
Achadinzero,achadinzero,1110559463
Fabiana,fafaterra,209861081
à¿*:ï½¥ï¾Ÿâ„³á¥²É¾à¹€á¥²,SouLindaDms,6774478083
salomao santos moreira,Salomaosal,701842384
Wesley,Wesleypark,1201813248
Ice,Icarofxp2007,6082210777
.,Eff3nov3,5808891448
Larissa,LarissaSantos321,7194260210
Sandra,p07tyi,7753653746
Channel Help,,260566685
,,7313113212
Caah,CaahSeverino,7233520665
Amara,Lindadoci,8103883809
Pepe,pepedoutor,8051205415
victor,Victor_vander,7306267891
Paulo,pauloex,6527123475
.,Indiindia097,8196699678
,,6519345543
,,7293074018
Magna,Magnapp,1938275524
,,8168517963
Darv1n,hackerdarvin,6960196125
,,7390802051
Biia,Biiamuniz,7655031108
Pamellacristiny3 ğŸ‡§ğŸ‡·ğŸ©µ,Pampamgt6,6172617540
Barbosastore Bot,Barbosastore_bot,6862135206
Prime,PrimeTvprime,7270158478
Play Store Ofertas,,1464827062
JR,Jrobertosilva,6520465891
Kathiana,kf_111,1232868343
Jorge,jlucianoa,930093282
Taiana,Anaiat1,6961343759
Ana Sousa,ana_sousa031,5375553624
Elinaldo,,7097357370
IFTTT,IFTTT,240044026
juliana pinoche,julianapinoche,7057668269
Tayrine,Tayrinemartinez,935508415
Cida,cidaguimaraesfreire,6909087385
A,amandasantosreserva,6699703931
Jean,jeanmcaraujo,197349455
L15,Galegatrampos71,7063813672
Cosmildo,cosmildo2023,2026926331
Robert,SuporteCat,7082051154
Jose,DOGE1500,7396548526
CYBERTECH,,6259675874
ğŸ›  Security Â¹ ğŸ› ,GHSecurityBot,208056682
ğŸ›  Security Â² ğŸ› ,GHSecurity2Bot,6315745715
BOT DE DESCONTO ALIEXPRESSğŸ‘‡Quer economizar?,POUPEcanaldeofertasecupons_bot,6372236657
â€¢Â°Â¯`â€¢â€¢ Å½ğšğ§Å£ á‘â“„ğ“â“„Ï‚ â€¢â€¢Â´Â¯Â°â€¢,ZaantNotoc,6218698277
Samuel,Samuca989,5233872345
Kaoany,KaoanyLopes,1633708351
Erica,Ericaregi,1183894628
